id,price,license,model,fuel,cc,registration_date,license_changed,owner_changed,total_loss,flood,theft,damaged_count,damaged_total,damaged_by_other_count,damaged_by_other_total,transmission,warranty,mileage,tuning_history,special_history,usage_change,accident,little_accident
37415408,1190,42모2120,모하비,디젤,2959cc,2013/07/30,0,2,0,0,0,0,0,0,0,오토,자가보증,"93,450km",없음,없음,없음,있음,있음
37415486,490,185우9459,더 뉴 모닝,가솔린,998cc,2016/12/14,1,2,0,0,0,0,0,1,1231740,오토,자가보증,"97,257km",없음,없음,있음 / 렌트,없음,없음
38440047,1599,28우1748,G70,가솔린,1998cc,2017/11/10,0,5,0,0,0,4,3485772,0,0,오토,보험사보증,"176,348km",없음,없음,없음,있음,있음
38399811,1199,50노1811,올 뉴 K7 하이브리드,하이브리드,2359cc,2017/07/28,0,2,0,0,0,2,2925501,0,0,오토,보험사보증,"221,682km",없음,없음,없음,없음,없음
38281020,1399,110버2083,쏘나타 (DN8),가스,1999cc,2019/12/17,1,1,0,0,0,4,3432707,0,0,오토,보험사보증,"136,489km",없음,없음,없음,없음,있음
37015030,950,176부9378,올 뉴 K7,가스,2999cc,2016/08/18,1,1,0,0,0,1,4683295,0,0,오토,보험사보증,"155,195km",없음,없음,있음 / 렌트,있음,있음
37845876,2499,174누1919,토레스,가솔린,1497cc,2023/01/02,0,1,0,0,0,1,1014600,0,0,오토,보험사보증,"16,942km",없음,없음,없음,없음,없음
38454957,499,50보0489,레이,가스/가솔린(바이퓨얼),998cc,2013/03/04,1,11,0,0,0,4,9383518,1,1124738,오토,보험사보증,"170,344km",없음,없음,없음,있음,있음
38490337,699,17누2769,그랜저 HG,가스,2999cc,2015/11/20,1,6,0,0,0,1,1427218,0,0,오토,보험사보증,"201,605km",없음,없음,있음 / 렌트,없음,있음
38298571,2270,225마3217,트랙스 크로스오버,가솔린,1199cc,2023/06/16,0,0,0,0,0,1,1365057,0,0,-,자가보증,"7,324km",없음,없음,없음,없음,있음
38542341,5200,198호6560,GV70,가솔린,2497cc,2023/07/06,0,0,0,0,0,0,0,0,0,오토,자가보증,"6,487km",없음,없음,있음 / 렌트,없음,없음
37978333,1140,123우3071,쏘나타 뉴 라이즈,가솔린,1999cc,2017/05/30,1,1,0,0,0,0,0,0,0,오토,보험사보증,"99,871km",없음,없음,있음 / 렌트,없음,있음
37978683,499,30라8475,SM3 네오,가솔린,1598cc,2014/09/04,0,2,0,0,0,1,1053720,0,0,오토,보험사보증,"94,170km",없음,없음,없음,없음,있음
38457094,1299,110무9406,아반떼 (CN7),가스,1591cc,2020/11/03,1,3,0,0,0,2,1799553,0,0,오토,보험사보증,"93,434km",없음,없음,있음 / 렌트,없음,있음
