Car ID,차량번호,최초등록일,변속기종류,사용연료,주행거리(km),주행거리 계기상태,차대번호표기,튜닝,특별이력,용도변경,배출가스,리콜대상,차명,연식
38573705,135버6234,2020/06/23,오토,가솔린+전기,"102,877km",양호,양호,없음,없음,없음,일산화탄소: 0.05% / 탄화수소: 7ppm,해당없음,K5 하이브리드 3세대,2020년식
38560023,207도9726,2023/02/08,-,가솔린,"27,240km",양호,양호,없음,없음,없음,일산화탄소: 0% / 탄화수소: 0ppm,해당없음,토레스,2023년식
38632028,07더1617,2017/08/21,-,가솔린,"53,807km",양호,양호,없음,없음,없음,일산화탄소: 0.02% / 탄화수소: 11ppm,해당없음,올 뉴 말리부,2017년식
38634821,93다4257,2021/09/13,-,가솔린+LPG,"40,382km",양호,양호,있음 / 적법,없음,없음,일산화탄소: 0% / 탄화수소: 0ppm,해당없음,리얼 뉴 콜로라도,2021년식
38358337,354수6483,2016/09/21,오토,가솔린,"74,836km",양호,양호,없음,없음,있음 / 렌트,일산화탄소: 0.01% / 탄화수소: 1ppm,해당없음,더 뉴 모닝,2016년식
38562079,353수1526,2019/10/01,오토,가솔린,"172,202km",양호,양호,없음,없음,있음 / 렌트,일산화탄소: 0.1% / 탄화수소: 20ppm,해당없음,G70,2019년식
38426152,36오3487,2014/05/08,-,LPG(일반인 구입),"122,515km",양호,양호,없음,없음,없음,일산화탄소: 0.03% / 탄화수소: 11ppm,해당없음,올란도,2014년식
38387712,141허5120,2021/08/27,-,가솔린,"64,722km",양호,양호,없음,없음,있음 / 렌트,일산화탄소: 0% / 탄화수소: 0ppm,해당 / 이행,G80 (RG3),2022년식
38345176,291노5176,2020/09/01,오토,가솔린,"62,386km",양호,양호,없음,없음,없음,일산화탄소: 0% / 탄화수소: 0ppm,해당없음,XM3,2020년식
38381104,48더1593,2011/10/21,오토,가솔린,"120,039km",양호,양호,없음,없음,없음,일산화탄소: 0.1% / 탄화수소: 9ppm,해당없음,스파크,2012년식
37906861,199보2183,2023/08/24,오토,디젤,"4,695km",양호,양호,없음,없음,없음,매연: 1%,해당없음,렉스턴 뉴 아레나,2024년식
38462173,173마4248,2021/11/19,오토,가솔린,"24,215km",양호,양호,없음,없음,없음,일산화탄소: 0.01% / 탄화수소: 1ppm,해당 / 이행,GV70,2022년식
38463060,285무4676,2022/07/14,-,가솔린,"52,499km",양호,양호,없음,없음,없음,일산화탄소: -% / 탄화수소: -ppm,해당없음,G90 (RS4),2022년식
38406844,28호7110,2019/02/07,-,디젤,"100,725km",양호,양호,없음,없음,있음 / 렌트,매연: 0%,해당 / 미이행,더 뉴 카니발,2019년식
