ID,N,NC,OC,TL,FD,TF,CM,CO
38474417,123러6248,0회,0회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회2,789,730원",없음
38577945,175러4664,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38102767,314마2429,1회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,"1회/393,074원"
37531882,22주4977,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"5회7,137,454원","7회/6,869,068원"
38316759,122무3842,0회,2회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38374886,54노9384,0회,0회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회738,110원","1회/973,980원"
38445033,217머5749,1회,3회,전손 0회,"침수(전손,분손) 0회",도난 0회,"2회1,521,130원","1회/548,794원"
38428141,30무2944,0회,4회,전손 0회,"침수(전손,분손) 0회",도난 0회,"4회4,082,542원","4회/1,903,487원"
38306745,206노5350,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38179646,196버7053,0회,0회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
37898326,41누6347,0회,0회,전손 0회,"침수(전손,분손) 0회",도난 0회,"3회3,135,100원",없음
38378617,150허6538,0회,0회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38565490,187어9707,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
37747668,386나6119,1회,2회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회533,566원",없음
38509286,60루0515,0회,4회,전손 0회,"침수(전손,분손) 0회",도난 0회,"5회5,664,568원","2회/1,265,125원"
38360685,43하9973,0회,0회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38365418,107나1227,0회,0회,전손 0회,"침수(전손,분손) 0회",도난 0회,"3회9,198,753원","1회/671,200원"
38435441,307구7878,0회,0회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38043211,394우3606,1회,5회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38430179,216라1312,1회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,"1회/666,324원"
37738662,222수7473,1회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38560731,159소5937,0회,2회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38469154,388저9222,1회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,"1회/577,536원"
38272600,36구8091,0회,2회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회560,903원",없음
38407997,02버4038,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38069960,213부1126,1회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회1,134,230원","1회/330,000원"
35888578,56수6141,2회,6회,전손 0회,"침수(전손,분손) 0회",도난 0회,"11회34,439,249원","1회/668,118원"
38612952,82너0667,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회855,270원",없음
38282267,378누4143,0회,0회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38456986,43다0179,0회,4회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회1,680,276원","1회/1,900,000원"
37570688,82부1928,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"7회7,566,272원","5회/3,167,803원"
38489004,59도9858,0회,7회,전손 0회,"침수(전손,분손) 0회",도난 0회,"2회893,069원","1회/647,416원"
38487912,116모8129,1회,2회,전손 0회,"침수(전손,분손) 0회",도난 0회,"7회9,190,701원","2회/9,159,360원"
38269118,379러5239,2회,5회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회1,093,524원",없음
38598082,355누8229,0회,0회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38107276,205나3836,1회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,"3회/2,109,220원"
37771334,216버6356,1회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"3회2,509,311원",1회/미확정
38222281,725서7205,1회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"2회2,316,640원","2회/4,856,740원"
37718942,54러9246,1회,6회,전손 0회,"침수(전손,분손) 0회",도난 0회,"2회3,084,584원","2회/2,492,924원"
38271708,45더9359,0회,3회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38446277,236루7557,1회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회2,042,539원",없음
38348127,35더6477,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회1,063,270원",없음
38300509,181수2595,1회,2회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38293585,26머9848,0회,2회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38151833,285수8060,1회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
37872263,123러5372,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38276318,42무3500,1회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,"1회/1,433,241원"
38083247,42로9283,0회,3회,전손 0회,"침수(전손,분손) 0회",도난 0회,"3회2,694,153원","1회/418,440원"
38633438,398라4590,0회,0회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38536548,09로3036,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"2회1,961,108원",없음
38635772,133도5608,0회,0회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38323836,102노3561,0회,3회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38566677,53우3656,0회,3회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38301677,28고0218,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회1,464,483원","1회/276,760원"
38231508,317고7930,1회,4회,전손 0회,"침수(전손,분손) 0회",도난 0회,"2회2,397,590원","3회/1,181,472원"
38062080,213부1126,1회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회1,134,230원","1회/330,000원"
38608415,70나7496,0회,3회,전손 0회,"침수(전손,분손) 0회",도난 0회,"3회2,719,795원","4회/4,450,451원"
38070826,188다5827,0회,0회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회644,250원","2회/2,331,660원"
