id,price,car_number,registration_date,transmission,fuel_type,mileage,mileage_condition,chassis_number,tuning,special_history,usage_change,emission_gas,recall,car_name,year
38520371,5000,356조2654,2023/04/20,오토,가솔린,"12,918km",양호,양호,없음,없음,없음,일산화탄소: 0% / 탄화수소: 0ppm,해당없음,GV70,2023년식
38604908,2930,73버2593,2020/07/09,-,디젤,"67,041km",양호,양호,있음 / 적법,없음,없음,매연: 1%,해당없음,더 뉴 그랜드 스타렉스,2021년식
37911022,1540,70모9295,2018/02/21,오토,디젤,"76,309km",양호,양호,없음,없음,없음,매연: 4%,해당 / 이행,더 뉴 그랜드 스타렉스,2018년식
38378038,650,40보9019,2014/07/02,오토,가솔린+전기,"157,483km",양호,양호,없음,없음,없음,일산화탄소: 0% / 탄화수소: 0ppm,해당없음,쏘나타 하이브리드,2015년식
38369868,2070,114도2407,2021/01/04,-,가솔린,"40,103km",양호,양호,없음,없음,없음,일산화탄소: -% / 탄화수소: -ppm,해당,트레일블레이저,2021년식
38633623,750,27라1098,2012/03/23,-,가솔린,"58,268km",양호,양호,없음,없음,없음,일산화탄소: -% / 탄화수소: -ppm,해당없음,YF 쏘나타,2012년식
38061775,2240,34주8115,2018/11/09,-,가솔린,"61,553km",양호,양호,없음,없음,없음,일산화탄소: 0.04% / 탄화수소: 6ppm,해당없음,그랜저 IG,2019년식
38608469,250,78구3131,2013/03/14,오토,디젤,"290,695km",양호,양호,없음,없음,없음,매연: 6%,해당 / 이행,코란도 투리스모,2014년식
38326538,1040,67러0176,2016/11/18,오토,가솔린,"147,837km",양호,양호,없음,없음,없음,일산화탄소: 0.15% / 탄화수소: 28ppm,해당없음,아반떼 AD,2017년식
38064946,2580,278로1095,2021/07/02,-,가솔린,"36,347km",양호,양호,없음,없음,있음 / 렌트,일산화탄소: 13% / 탄화수소: 6ppm,해당없음,더 뉴 그랜저 IG,2022년식
38433670,600,55노0533,2016/02/04,오토,LPG(일반인 구입),"124,752km",양호,양호,없음,없음,없음,일산화탄소: 0.1% / 탄화수소: 4ppm,해당없음,K5 2세대,2016년식
38386158,2850,338버1216,2018/01/11,오토,가솔린,"56,097km",양호,양호,없음,없음,없음,일산화탄소: 0% / 탄화수소: 0ppm,해당없음,G70,2018년식
38466441,2500,370나3645,2020/03/31,오토,가솔린,"73,737km",양호,양호,없음,없음,없음,일산화탄소: 0.03% / 탄화수소: 5ppm,해당 / 이행,더 뉴 카니발,2020년식
38405635,1350,49머5460,2015/03/06,-,디젤,"174,180km",양호,양호,없음,없음,없음,매연: 1%,해당 / 이행,올 뉴 카니발,2015년식
38237096,800,42더0123,2016/01/18,-,가솔린,"147,775km",양호,양호,없음,없음,없음,일산화탄소: -% / 탄화수소: -ppm,해당없음,그랜저 HG,2016년식
38624122,3240,169어3101,2022/07/22,오토,가솔린,"49,756km",양호,양호,없음,없음,없음,일산화탄소: 0.02% / 탄화수소: 3ppm,해당 / 이행,카니발 4세대,2023년식
38637889,519,23주0782,2016/07/04,오토,가솔린,"192,322km",양호,양호,없음,없음,없음,일산화탄소: 0.09% / 탄화수소: 9ppm,해당 / 이행,트랙스,2016년식
38490772,2150,96부4678,2021/07/30,오토,디젤,"86,617km",양호,양호,없음,없음,없음,매연: -%,해당없음,스타리아,2022년식
37898596,250,49모4971,2010/03/23,오토,가솔린,"67,114km",양호,양호,없음,없음,없음,일산화탄소: 0% / 탄화수소: 0ppm,해당없음,뉴SM3,2010년식
38447919,1390,08로2396,2018/06/22,-,디젤,"47,055km",양호,양호,없음,없음,없음,매연: 0%,해당없음,이쿼녹스,2018년식
