Vehicle ID,Car Number,Number Change History,Owner Change History,Total Loss History,Flood Damage History,Theft History,Insurance Claim (My Car),Insurance Claim (Other Car)
38612910,11소6118,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"3회1,931,768원",없음
38114828,36부7304,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"4회5,519,908원",없음
38428646,838서1732,0회,2회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38254280,157어6592,1회,3회,전손 0회,"침수(전손,분손) 0회",도난 0회,"5회11,826,533원","2회/3,891,700원"
38063048,109서3340,0회,0회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38549172,175더2580,1회,0회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,"1회/969,673원"
38369632,162고5605,1회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38384211,68오4500,0회,0회,전손 0회,"침수(전손,분손) 0회",도난 0회,"2회1,324,670원",없음
38426215,30로5488,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"3회764,060원","1회/341,805원"
38348721,153라7886,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회2,749,400원",없음
38537386,268저9216,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"2회1,133,720원",없음
38617645,20부6871,0회,3회,전손 0회,"침수(전손,분손) 0회",도난 0회,"2회818,630원",없음
38451214,109조8363,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38383635,09도2752,0회,3회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회957,533원","1회/521,800원"
38303543,207다7541,0회,0회,전손 0회,"침수(전손,분손) 0회",도난 0회,"3회4,054,830원","3회/1,219,850원"
37744838,09가9080,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회12,833,340원","1회/3,333,000원"
38313119,321도5560,1회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
37123657,15두1721,0회,0회,전손 0회,"침수(전손,분손) 0회",도난 0회,"5회4,127,899원","1회/910,800원"
38542126,03오7477,0회,2회,전손 0회,"침수(전손,분손) 0회",도난 0회,"4회17,263,585원",없음
38165534,52루8649,0회,0회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회452,469원",없음
38486767,30루0328,0회,2회,전손 0회,"침수(전손,분손) 0회",도난 0회,1회미확정,없음
38299858,288어9525,0회,0회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
