id,transmission,warranty,mileage,tuning_history,special_history,usage_change,accident,little_accident
38499207,-,보험사보증,"36,429km",없음,없음,없음,없음,없음
38221049,-,보험사보증,"49,338km",없음,없음,없음,없음,없음
38351052,-,보험사보증,"107,041km",없음,없음,없음,없음,있음
38143828,-,보험사보증,"149,189km",없음,없음,없음,없음,없음
38635515,-,보험사보증,"117,557km",없음,없음,없음,없음,없음
38620124,-,보험사보증,"172,398km",없음,없음,없음,없음,없음
38396997,-,보험사보증,"168,407km",없음,없음,없음,없음,있음
38452610,오토,보험사보증,"84,047km",없음,없음,없음,없음,없음
38185991,-,자가보증,"60,242km",없음,없음,없음,없음,없음
38485911,-,자가보증,"35,697km",없음,없음,없음,없음,없음
38625091,오토,보험사보증,"167,438km",없음,없음,있음 / 렌트,없음,있음
38614031,-,보험사보증,"7,529km",없음,없음,없음,없음,없음
38302801,-,보험사보증,"52,946km",없음,없음,없음,없음,없음
38387181,-,자가보증,"98,879km",없음,없음,없음,있음,있음
38397259,-,자가보증,"97,130km",없음,없음,없음,없음,있음
38027162,오토,보험사보증,"17,000km",없음,없음,없음,없음,없음
38424566,오토,보험사보증,"111,456km",없음,없음,없음,없음,없음
38378883,-,보험사보증,"101,458km",없음,없음,없음,없음,없음
38585576,-,보험사보증,"11,051km",없음,없음,없음,없음,없음
38566994,오토,보험사보증,"15,166km",없음,없음,없음,없음,없음
37887051,-,보험사보증,"53,562km",없음,없음,없음,없음,없음
38378557,오토,보험사보증,"131,328km",없음,없음,없음,없음,있음
38158256,-,보험사보증,"47,163km",없음,없음,없음,있음,있음
38123273,-,보험사보증,"103,865km",없음,없음,없음,없음,없음
38223206,오토,보험사보증,"116,782km",없음,없음,없음,없음,없음
38350820,-,보험사보증,"85,436km",없음,없음,있음 / 렌트,없음,있음
38304915,오토,자가보증,"90,238km",없음,없음,없음,없음,있음
38133627,오토,보험사보증,"83,299km",있음 / 적법 / 구조,없음,없음,없음,있음
38444072,-,보험사보증,"98,123km",없음,없음,없음,없음,없음
38628413,오토,보험사보증,"1,205km",없음,없음,없음,없음,없음
38399449,-,보험사보증,"70,671km",없음,없음,없음,없음,있음
38229263,오토,보험사보증,"26,070km",없음,없음,없음,없음,없음
38563130,-,보험사보증,"89,118km",없음,없음,없음,없음,없음
38612420,-,보험사보증,"60,642km",없음,없음,없음,없음,없음
38552951,오토,자가보증,"74,134km",없음,없음,없음,없음,없음
38555128,오토,보험사보증,"100,294km",없음,없음,없음,없음,있음
38286380,오토,보험사보증,"35,012km",없음,없음,없음,없음,없음
38435961,-,보험사보증,"126,743km",없음,없음,없음,없음,있음
38283241,-,보험사보증,"17,824km",없음,없음,없음,없음,없음
37658594,-,보험사보증,"108,294km",없음,없음,있음 / 렌트,없음,있음
38631216,오토,자가보증,"104,077km",없음,없음,없음,없음,있음
37368995,-,보험사보증,"111,460km",없음,없음,없음,있음,없음
38370601,-,보험사보증,"68,711km",없음,없음,없음,없음,없음
38635417,오토,보험사보증,"3,635km",없음,없음,없음,없음,없음
38538526,오토,자가보증,"41,500km",없음,없음,없음,없음,없음
38032757,-,보험사보증,"41,227km",없음,없음,없음,없음,있음
38409605,오토,보험사보증,"19,335km",없음,없음,없음,없음,없음
38401193,오토,보험사보증,"62,066km",없음,없음,없음,없음,없음
37700955,오토,보험사보증,"150,074km",없음,없음,없음,있음,있음
38407242,오토,보험사보증,"63,036km",없음,없음,있음 / 렌트,없음,있음
38374586,오토,보험사보증,"33,741km",없음,없음,없음,없음,없음
