id,n,model,fuel,cc,date,nc,oc,tl,fd,tf,cm_num,cm_price,co_num,co_price,price,transmission,warranty,mileage,tuning_history,special_history,usage_change,accident,little_accident
38448784,62더1565,QM6,디젤,1995cc,2017/06/02,0,4,0,0,0,0,0,1,347210,1280,-,보험사보증,"62,092km",없음,없음,없음,없음,없음
38575349,291라1239,트래버스,가솔린,3564cc,2020/01/29,0,2,0,0,0,0,0,1,1512870,3210,-,보험사보증,"32,669km",없음,없음,없음,없음,없음
38490342,38모6105,레이,가솔린,998cc,2014/11/14,0,3,0,0,0,3,6472017,1,1500000,749,오토,보험사보증,"104,131km",없음,없음,없음,없음,있음
38253567,352어5502,카니발 4세대,가솔린,3470cc,2022/07/05,0,0,0,0,0,0,0,0,0,4960,-,보험사보증,"18,388km",없음,없음,없음,없음,없음
37867698,352어4791,뷰티풀 코란도,가솔린,1497cc,2022/05/12,0,0,0,0,0,0,0,0,0,1799,오토,자가보증,"43,937km",없음,없음,없음,없음,없음
38177166,53더0206,트랙스,가솔린,1362cc,2016/11/03,0,1,0,0,0,0,0,1,1022166,699,-,자가보증,"111,010km",없음,없음,없음,없음,없음
38563885,54마2513,올 뉴 K7,가솔린,3342cc,2017/02/15,0,1,0,0,0,2,2414163,2,812835,1580,오토,보험사보증,"119,905km",없음,없음,없음,있음,없음
38589407,133가6773,스포티지 5세대,가솔린,1598cc,2022/02/17,0,1,0,0,0,3,1611538,0,0,3220,오토,자가보증,"21,256km",없음,없음,없음,없음,없음
38544695,211누2683,셀토스,디젤,1598cc,2021/12/29,1,1,0,0,0,0,0,0,0,1600,-,보험사보증,"118,625km",없음,없음,있음 / 렌트,없음,없음
38614178,152수9706,올 뉴 K3,가솔린,1598cc,2019/10/11,1,2,0,0,0,1,1118236,0,0,1750,오토,보험사보증,"27,681km",없음,없음,있음 / 렌트,없음,없음
