ID,N,NC,OC,TL,FD,TF,CM,CO
37710536,98오1138,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회505,690원",없음
38587210,15로1077,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38270843,51오3110,0회,3회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38436006,255다4087,1회,2회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38529015,182보3737,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회862,384원","1회/1,126,883원"
38614867,07부0340,0회,6회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38387184,04조6405,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38573896,184모8827,1회,2회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회42,750원","1회/400,919원"
38349404,152마6620,1회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"2회1,614,389원","1회/600,000원"
38333199,264루6081,1회,2회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38542240,55수0737,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회695,706원",없음
38602622,358무6267,1회,3회,전손 0회,"침수(전손,분손) 0회",도난 0회,"3회2,009,838원","1회/1,413,618원"
38429662,180버1355,0회,3회,전손 0회,"침수(전손,분손) 0회",도난 0회,"2회761,554원",없음
37364013,279거5696,2회,3회,전손 0회,"침수(전손,분손) 0회",도난 0회,"2회1,384,039원","1회/301,510원"
38410356,충남51바9002,0회,0회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38571078,01다4013,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회1,680,203원",없음
38240084,60어9847,0회,2회,전손 0회,"침수(전손,분손) 0회",도난 0회,"2회1,773,190원","1회/468,684원"
38565192,25고6872,1회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38624594,205다2596,1회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
